_,Id,Name,RecordType,RecordType.Name,BillingLongitude,BillingLatitude
[Account],0011N00001K0z4nQAB,Apostolic Fire Church,[RecordType],Church,-95.275946,29.702951
[Account],0013l00002GGLs9AAH,Methodist Church,[RecordType],Church,-95.184341,29.975522
[Account],0013l00002GGLsAAAX,Pine Forest Baptist Church,[RecordType],Church,-95.227655,29.97205
[Account],0013l00002GGLsBAAX,Humble First Assembly of God Church,[RecordType],Church,-95.247135,30.002739
[Account],0013l00002GGLsCAAX,The Church of Humble,[RecordType],Church,-95.25005,29.980119
[Account],0013l00002GGLsDAAX,New Direction Fellowship Church,[RecordType],Church,-95.235163,29.969983
[Account],0013l00002GGLsEAAX,Life Church of Humble,[RecordType],Church,-95.1873,29.998523
[Account],0013l00002GGLsFAAX,The Universal Church,[RecordType],Church,-95.1768,29.9941
[Account],0013l00002GGLsGAAX,Lamb of God Lutheran Church and School,[RecordType],Church,-95.254111,30.003295
[Account],0013l00002GGLTHAA5,Freeway Manor Baptist Church,[RecordType],Church,-95.237211,29.647465
[Account],0013l00002GGLTIAA5,CT Church,[RecordType],Church,-95.243989,29.628347
[Account],0013l00002GGLTJAA5,The ROCK WOI,[RecordType],Church,-95.25054,29.640273
[Account],0013l00002GGLTKAA5,Saint Frances Cabrini Catholic Church,[RecordType],Church,-95.221264,29.634984
[Account],0013l00002GGLTLAA5,Bible Way Fellowship,[RecordType],Church,-95.228298,29.630269
[Account],0013l00002GGLTMAA5,Methodist Church,[RecordType],Church,-95.238256,29.662865
[Account],0013l00002GGLTNAA5,Fellowship Church of Houston,[RecordType],Church,-95.201488,29.650683
[Account],0013l00002GGLTOAA5,Church On the Rock,[RecordType],Church,-95.248565,29.661182
[Account],0013l00002GGLTPAA5,South Haven Seventh-day Adventist Spanish,[RecordType],Church,-95.232541,29.656975
[Account],0013l00002GGLqzAAH,Ethiopian Christians Fellowship Church,[RecordType],Church,-95.544128,29.612702
[Account],0013l00002GGLr0AAH,IMPG Church,[RecordType],Church,-95.5378,29.6153
[Account],0013l00002GGLr1AAH,Southwest Church of God,[RecordType],Church,-95.560971,29.614826
[Account],0013l00002GGLr2AAH,St. Joseph Syro Malabar Catholic Forane Church,[RecordType],Church,-95.545537,29.613823
[Account],0013l00002GGLr3AAH,Living Waters Christian Church,[RecordType],Church,-95.549756,29.607478
[Account],0013l00002GGLr4AAH,Visions AME Church,[RecordType],Church,-95.532882,29.613784
[Account],0013l00002GGLr5AAH,"St. Thomas Indian Orthodox Cathedral, Houston",[RecordType],Church,-95.545128,29.606695
[Account],0013l00002GGLr6AAH,International Bible Church,[RecordType],Church,-95.545548,29.633441
[Account],0013l00002GGLr7AAH,New Hope Baptist Church,[RecordType],Church,-95.54995,29.605034
[Account],0013l00002GGLr8AAH,Stafford Church of Christ,[RecordType],Church,-95.561665,29.613708
[Account],0013l00002G4rtdAAB,Mount Olive Baptist Church,[RecordType],Church,-95.458288,29.860502
[Account],0013l00002G4rteAAB,Shady Acres Baptist Church,[RecordType],Church,-95.464207,29.868003
[Account],0013l00002G4rtfAAB,Shiloh Community Church,[RecordType],Church,-95.444989,29.879496
[Account],0013l00002G4rtgAAB,Truelight Church Of The Lord Jesus Christ,[RecordType],Church,-95.44625,29.859412
[Account],0013l00002G4rthAAB,Higher Heights Christian Church,[RecordType],Church,-95.465039,29.86998
[Account],0013l00002G4rtiAAB,Yorkdale Missionary Baptist,[RecordType],Church,-95.448504,29.856807
[Account],0013l00002G4rtjAAB,St Monica's Catholic Church,[RecordType],Church,-95.437051,29.869782
[Account],0013l00002G4rtkAAB,Church of the Lord Jesus,[RecordType],Church,-95.455893,29.857639
[Account],0013l00002G4rtlAAB,Calvary Missionary Baptist Church,[RecordType],Church,-95.448137,29.858528
[Account],0013l00002G4rtmAAB,"Overcomers Community Church, Inc. Houston",[RecordType],Church,-95.440961,29.877124
[Account],0013l00002G4rtnAAB,New Life Tabernacle Church of God in Christ,[RecordType],Church,-95.452834,29.853661
[Account],0013l00002G4rtoAAB,Dòng Chúa Cứu Thế - Vietnamese Redemptorist Mission,[RecordType],Church,-95.46039,29.862158
[Account],0013l00002GGLr9AAH,True Jesus Church,[RecordType],Church,-95.561911,29.614361
[Account],0013l00002GGLrAAAX,New Pointe Church,[RecordType],Church,-95.563637,29.61521
[Account],0013l00002GGLrBAAX,Anglican Church of Pentecost,[RecordType],Church,-95.564378,29.612618
[Account],0013l00002GGLrCAAX,Body of Faith,[RecordType],Church,-95.564378,29.612618
[Account],0013l00002GGLrDAAX,Dominion Chapel Houston,[RecordType],Church,-95.538875,29.63299
[Account],0013l00002G4roQAAR,New Heart Church Of God,[RecordType],Church,-95.302672,29.932295
[Account],0013l00002G4roRAAR,Rock Ministries International,[RecordType],Church,-95.302063,29.933912
[Account],0013l00002G4roSAAR,Christ Gospel Church,[RecordType],Church,-95.308226,29.944559
[Account],0013l00002G4roTAAR,Houston International Church,[RecordType],Church,-95.294568,29.938412
[Account],0013l00002G4roUAAR,Kingdom Bound Community Church,[RecordType],Church,-95.300597,29.939433
[Account],0013l00002G4roVAAR,Faith Outreach Christian Church,[RecordType],Church,-95.298882,29.936704
[Account],0013l00002G4roWAAR,Grace Church of Humble,[RecordType],Church,-95.277995,29.939543
[Account],0013l00002G4roXAAR,Solid Rock Baptst Church,[RecordType],Church,-95.303263,29.927499
[Account],0013l00002G4roYAAR,Suburban Wood Baptist Church,[RecordType],Church,-95.291575,29.938787
[Account],0013l00002G4roZAAR,Church-The Lord Jesus Christ,[RecordType],Church,-95.307703,29.921653
[Account],0013l00002G4roaAAB,New Beginnings Comm Church-Hmbl,[RecordType],Church,-95.30385,29.942141
[Account],0013l00002G4robAAB,Destination Awaits,[RecordType],Church,-95.298882,29.936704
[Account],0013l00002G4rocAAB,Aldine First United Methodist,[RecordType],Church,-95.319057,29.931272
[Account],0013l00002G4rodAAB,Miracle Life Church,[RecordType],Church,-95.33113,29.940251
[Account],0013l00002G4roeAAB,Emmanuel Brethren Assembly,[RecordType],Church,-95.287993,29.931565
[Account],0013l00002G4rofAAB,The LightHouse Church of Houston,[RecordType],Church,-95.288127,29.965532
[Account],0013l00002G4rogAAB,LifeStream Church,[RecordType],Church,-95.333985,29.929485
[Account],0013l00002GGGpJAAX,The Church of Jesus Christ of Latter-day Saints,[RecordType],Church,-95.506134,30.127098
[Account],0013l00002GGGpKAAX,Unity of The Woodlands,[RecordType],Church,-95.506174,30.139646
[Account],0013l00002GGGpLAAX,The Church of Jesus Christ of Latter-day Saints,[RecordType],Church,-95.496054,30.153667
[Account],0013l00002GGGpMAAX,Lord of Life Lutheran Church,[RecordType],Church,-95.496177,30.154601
[Account],0013l00002GGHlUAAX,Church Project,[RecordType],Church,-95.445584,30.12458
[Account],0013l00002GGHlVAAX,Church,[RecordType],Church,-95.509654,30.077176
[Account],0013l00002GGHlWAAX,The Woodlands First Baptist Church,[RecordType],Church,-95.465278,30.135544
[Account],0013l00002GGHlYAAX,Journey Church,[RecordType],Church,-95.467795,30.127329
[Account],0013l00002GGHlZAAX,Sts. Simon And Jude Catholic Parish,[RecordType],Church,-95.490826,30.149072
[Account],0013l00002GGHlaAAH,HopePointe Anglican Church,[RecordType],Church,-95.491922,30.156338
[Account],0013l00002GGHlbAAH,Grace Community Bible Church,[RecordType],Church,-95.553159,30.116484
[Account],0013l00002GGHlcAAH,Relate Community Church,[RecordType],Church,-95.517958,30.080199
[Account],0013l00002GGHldAAH,Woodlands Point Community Church,[RecordType],Church,-95.501789,30.165724
[Account],0013l00002GGHleAAH,The Woodlands Christian Church,[RecordType],Church,-95.455473,30.152598
[Account],0013l00002GGHlfAAH,The Woodlands United Methodist Church,[RecordType],Church,-95.468418,30.167673
[Account],0013l00002GGFdnAAH,The Journey Contemporary Worship - Memorial Drive United Methodist Church West Campus,[RecordType],Church,-95.572557,29.772764
[Account],0013l00002GGFdoAAH,Church,[RecordType],Church,-95.55468,29.793436
[Account],0013l00002GGFdpAAH,Encourager Church,[RecordType],Church,-95.573497,29.786112
[Account],0013l00002GGLpRAAX,The Well,[RecordType],Church,-95.572557,29.772764
[Account],0013l00002GGLpSAAX,The Greater Houston Church,[RecordType],Church,-95.57685,29.790203
[Account],0013l00002GGLpTAAX,The Gate,[RecordType],Church,-95.572653,29.772763
[Account],0013l00002G0nyIAAR,Xceleration Church,[RecordType],Church,,
[Account],0013l00002GGLpUAAX,Bayou City Fellowship - Spring Branch,[RecordType],Church,-95.567973,29.796084
[Account],0013l00002GGLpVAAX,Church,[RecordType],Church,-95.563075,29.804103
[Account],0013l00002GGLpXAAX,Church Global,[RecordType],Church,-95.557377,29.799934
[Account],0013l00002GGLs2AAH,Pentecostal Church-Atascocita,[RecordType],Church,-95.220138,29.976494
[Account],0013l00002GGLs3AAH,Exchange Church,[RecordType],Church,-95.204074,29.985774
[Account],0013l00002GGLs4AAH,Murphy Garfield & Church,[RecordType],Church,-95.197636,29.980969
[Account],0013l00002GGLs5AAH,Lake Houston Church,[RecordType],Church,-95.188451,29.998079
[Account],0013l00002GGLs8AAH,New Covenant Church,[RecordType],Church,-95.247883,29.986851
[Account],0013l00002G4rtYAAR,New Temple of Praise Church,[RecordType],Church,-95.305072,29.892457
[Account],0013l00002G4rtZAAR,PUA CHURCH HOUSTON,[RecordType],Church,-95.391634,29.912361
[Account],0013l00002G4rtaAAB,Church of God of Prophecy,[RecordType],Church,-95.388083,29.902392
[Account],0013l00002G4rtbAAB,Greenridge Missionary Baptist Church,[RecordType],Church,-95.401609,29.918176
[Account],0013l00002G4rtcAAB,Cathedral of Saint Matthew,[RecordType],Church,-95.396837,29.890167
[Account],0013l00002G4tRQAAZ,North Houston Church,[RecordType],Church,-95.410783,29.905632
[Account],0013l00002G4tRRAAZ,Jones Chapel AME Church,[RecordType],Church,-95.406837,29.914754
[Account],0013l00002G4tRSAAZ,Tomb of Jesus Church,[RecordType],Church,-95.363353,29.919965
[Account],0013l00002G4tRTAAZ,The Vine Apostolic Church,[RecordType],Church,-95.357376,29.92851
[Account],0013l00002G4tRUAAZ,Word of Life Church,[RecordType],Church,-95.416583,29.900795
[Account],0013l00002G4rsGAAR,Faith Kingdom Church of God in Christ,[RecordType],Church,-95.333985,29.929485
[Account],0013l00002JrmDaAAJ,Northshore Episcopal Church,[RecordType],Church,,
[Account],0013l00002HASqNAAX,Hope Church,[RecordType],Church,-95.564273,29.890458
[Account],0013l00002IYuuSAAT,"Plymouth United Church, UCC",[RecordType],Church,-95.505101,30.030324
[Account],0013l00002OKvmtAAD,Holy Chapel C.M.E. Church,[RecordType],Church,-95.504782,29.631259
[Account],0013l00002OKvmuAAD,Canaan Christian Church,[RecordType],Church,-95.495759,29.632446
[Account],0013l00002OKvmvAAD,Christ Apostolic Church,[RecordType],Church,-95.504971,29.637404
[Account],0013l00002OKvmwAAD,Power Source Christian Church,[RecordType],Church,-95.507116,29.627622
[Account],0013l00002OKvmxAAD,Our Savior Church Houston,[RecordType],Church,-95.494018,29.627072
[Account],0013l00002OKvmyAAD,Gracious Hope Baptist Church,[RecordType],Church,-95.484758,29.634662
[Account],0013l00002OKvmzAAD,Disciples United Methodist Church- Houston,[RecordType],Church,-95.493943,29.641875
[Account],0013l00002OKvn0AAD,New Believers Baptist Church,[RecordType],Church,-95.507894,29.64071
[Account],0013l00002OKvn1AAD,New Deliverance Church,[RecordType],Church,-95.50496,29.636326
[Account],0013l00002OKvn2AAD,Inspiration Church,[RecordType],Church,-95.484328,29.587222
[Account],0013l00002OKvn3AAD,Wesley Methodist Church,[RecordType],Church,-95.50627,29.640355
[Account],0013l00002OKtYiAAL,The New Old Church,[RecordType],Church,,
[Account],0013l00002OKxpnAAD,Gethsemane Missionary Baptist Church,[RecordType],Church,-95.266437,29.759171
[Account],0013l00002OKxpoAAD,Macedonia Baptist Church,[RecordType],Church,-95.268038,29.744962
[Account],0013l00002OKxppAAD,Pleasantville United Methodist,[RecordType],Church,-95.277289,29.765913
[Account],0013l00002OKxpqAAD,Church of the Resurrection,[RecordType],Church,-95.233536,29.763109
[Account],0013l00002OKxprAAD,Faith Memorial Baptist Church,[RecordType],Church,-95.307058,29.777414
